EntityId	Corporate_Name
1006639	Tata Consultancy Services
1048862	Cognizant Technology Solutions
11184763	Reliance Retail Limited
11323419	Reliance Retail Limited
11184764	Reliance Retail Limited
11174600	Reliance Retail Limited
1020185	Reliance Retail Limited
11184765	Reliance Retail Limited
1040448	Reliance Retail Limited
1006180	Infosys Limited
11266761	Infosys Limited
11266754	Infosys Limited
11266757	Infosys Limited
11266758	Infosys Limited
11266752	Infosys Limited
1006205	JP Morgan Services India Pvt Ltd
1048923	Capgemini Technology Services India Limited
11185545	Wells Fargo International solutions Private Limited
1006675	Tech Mahindra LTD
1015134	IBM India Pvt Ltd
1164455	STATESTREET CORPORATE SERVICES
1164762	STATESTREET CORPORATE SERVICES
1039170	HSBC EDP INDIA PVT LTD
11174501	HSBC EDP INDIA PVT LTD
1019773	HSBC EDP INDIA PVT LTD
1006125	HSBC EDP INDIA PVT LTD
1050101	Oracle
1070602	Oracle
1070603	Oracle
1061974	Oracle
1062144	Oracle
1006191	Intel Technology India Pvt Ltd
1035342	Asian Paints Limited
11172076	CBA Services Private Limited
1006596	SOCIETE GENERALE GLOBAL SOLUTION CENTRE PVT LTD
48367	SOCIETE GENERALE GLOBAL SOLUTION CENTRE PVT LTD
168456	SOCIETE GENERALE GLOBAL SOLUTION CENTRE PVT LTD
11175074	Alstom transport India Ltd
11184892	Amazon Development Centre (India) Pvt Ltd
1196436	Amazon Development Centre (India) Pvt Ltd
11197231	Ikea India Private Limited
