SubDepartment_Id	UI_SubDepartment_Name
705570	Abortion-DNC
705571	ACL/PCL-Injuries
705572	Adenoidectomy
705573	Appendicitis
705574	Arota
705575	Arthoscopy
705576	Arthritis
705577	Arthroscopy
705578	AV-Fistula
705579	Bariatric-Surgery
705580	Barrage Laser
705581	Bartholins Cysts
705582	Bladder Disorders
705583	Bladder stones
705584	Brain tumor
705585	Breast cancer
705586	Breast Conditions
705587	Breast Implants
705588	Breast reduction
705589	Breast-Augmentation
705590	Breast-Surgery
705591	Bridges
705592	Ca Prostate
705593	Cardiology
705594	Cardiovascular Diseases
705595	Carotid Artery Stenosis
705596	Cataract
705597	Cerebrovascular Disorders
705598	Chronic Kidney Injury
705599	Clubfoot Correction
705600	Colectomy
705601	Colorectal cancer
705602	Conjuctivitis
705603	Cornea-Retina
705604	Coronary Angiogram
705605	Coronary Artery disease
705606	Crowns
705607	Deep-Vein-Thrombosis-(DVT)
705608	Delivery
705609	Dental Caries
705610	Dental Implants
705611	Dental-Aligners
705612	Dentures
705613	Deviated nasal septum
705614	Diabetic-Ulcers
705615	Dilatation & Curettage
705616	Dilution and Evacuation
705617	Disc prolapse
705618	DJ stent removal
705619	Endometriosis
705620	Enlarged-Prostate
705621	Enlarged-Prostate-(BPH)
705622	ENT
705623	Epidural Hematoma
705624	Eyelid surgery
705625	Family Planning
705626	female-infertility
705627	Fertility
705628	FESS
705629	Fissure
705630	Fistula
705631	Fractures
705632	Gallstones
705633	Glaucoma
705634	Gynaecology
705635	Gynecomastia
705636	Hair-Transplant
705637	Hymenoplasty
705638	Hysterectomy
705639	IUI
705640	IVF
705641	Keratocuns
705642	Kidney transplant
705643	Kidney-Stones
705644	Knee meniscal repair
705645	Knee Reconstruction
705646	Laryngeal surgery
705647	Lasik
705648	Lip enhancement
705649	Lipoma
705650	Liposuction
705651	Lithotripsy
705652	Liver Cancer
705653	Liver Disorders
705654	Liver transplant
705655	Lumbar puncture
705656	Lung Cancer
705657	Lung disease
705658	male-infertility
705659	Mastoid-Surgeryy
705660	Maternity
705661	Myomectomy
705662	Nasal Polyp removal
705663	Natural/C-Section
705664	Neurosurgery
705665	Nose corrections
705666	Obstructive-Apnea
705667	Omphalocele Repair
705668	Oncology
705669	Ophthalmology
705670	Orchidopexy Surgery
705671	Orthopaedic
705672	Ovarian cyst
705673	Pancreatic Cancer
705674	Pancreatic Disorders
705675	Papilledema
705676	PCOD-PCOS
705677	Pediatric-ENT
705678	Pericardial Effusion
705679	Periodontal Diseases
705680	Peripheral Angiogram
705681	Peripheral Artery Disease
705682	Peripheral vascular disease
705683	Piles
705684	Pregnancy
705685	PRK
705686	PTCA
705687	Pterygium
705688	Ptosis
705689	Raynaud's Disease
705690	Rectal Cancer
705691	Rectal Polyp
705692	Rectal-Prolapse
705693	Rheumatologist
705694	RIRS
705695	RIRS With DJ Stenting
705696	Root canal treatment
705697	Septoplasty
705698	Sinus-Surgery
705699	Spider-Veins
705700	Spinal cord compression
705701	Spinal decompression
705702	Spinal fractures
705703	Spinal Stenosis
705704	Spinal-Injuries
705705	Spine
705706	Sports Injuries
705707	Squint-Corrections
705708	Sub arachnoid haemorrhage
705709	Thrombectomy
705710	Thyroid-Surgery
705711	Tonsillectomy
705712	Tooth Extraction
705713	Tooth Fracture
705714	Knee-Replacement
705715	Trans PRK
705716	Tubal-Ligation
705717	Tummy tuck
705718	Tympanoplasty
705719	Urethroplasty
705720	Urethrotomy
705721	Urinary Tract Infections
705722	Urology
705723	Urs+ Dj Stenting
705724	Uterine cancer
705725	Uterine Polyps
705726	Uterine prolapse
705727	Uterine-Fibroids
705728	Vaginal-Cyst
705729	Varicose Veins
705730	Vascular
705731	VP Shunts
705732	Weight loss surgery
705765	Abscess
705766	Anal Abscess
705767	Anal stenosis
705768	Botox
705769	Bronchial Asthma/ILD
705770	Carpal-tunnel
705771	Cervical Cancer
705772	Circumcision
705773	Corn
705774	Dengue
705775	Dermal Fillers
705776	Dermatology
705777	Face lift
705778	Facial Implants
705779	Ganglion cysts
705780	Gastrointestinal surgery
705781	General Medicine
705782	GERD-Achalasia
705783	GERD/Acute Gastroenteritis
705784	Head and neck cancer
705785	Hernia
705786	Hormone Imbalance
705787	Hydrocele
705788	Hypertensive disease
705789	IBD
705790	Ingrown toenail
705791	Intragastric Balloon
705792	Irritable Bowel Syndrome
705793	Ladd's Procedure
705794	Laparoscopy
705795	Maxilofacial Surgery
705796	Mole-Removal
705797	Mouth cancer
705798	Musculoskeletal Injuries
705799	Oral Cancer
705800	Ovarian cancer
705801	Peptic ulcers
705802	Pilonidal Sinus
705803	Pilonidal-Sinus
705804	Platelet-rich plasma
705805	Rhinoplasty
705806	Rotator cuff tear
705807	Shoulder-Injuries
705808	Sphincteroplasty
705809	Stomach cancer
705810	Tendon injuries
705811	Testis
705812	Hip-Replacement
705813	Transplant Surgery
705814	Trigger finger
705815	Varicocele
705816	Vasectomy
705817	Viral Fever/Flu
711759	Phimosis
715630	Circumcision & Frenuloplasty
